N,P,K,temperature,humidity,ph,rainfall,soil_type,category,growth_duration_days,water_requirement,sunlight_hours,label
83,47,42,27.81,81.06,6.31,277.38,Alluvial,Cereal,124,Very High,6.7,Rice
84,45,38,24.6,74.35,5.71,213.13,Clayey,Cereal,113,Very High,7.2,Rice
72,39,45,23.44,82.27,5.83,213.67,Clayey,Cereal,120,Very High,6.3,Rice
83,44,38,22.5,89.41,6.39,198.27,Alluvial,Cereal,124,Very High,6.3,Rice
81,36,34,24.49,84.95,6.47,226.53,Loamy,Cereal,118,Very High,6.1,Rice
74,45,44,24.86,74.95,6.53,218.45,Clayey,Cereal,115,Very High,7.4,Rice
88,53,36,23.23,83.33,6.79,215.62,Clayey,Cereal,118,Very High,6.3,Rice
70,52,45,23.82,86.01,6.54,210.65,Clayey,Cereal,122,Very High,7.9,Rice
79,57,29,26.05,82.35,6.28,232.75,Alluvial,Cereal,108,Very High,6.9,Rice
82,56,37,21.98,79.99,6.77,239.86,Clayey,Cereal,116,Very High,7.3,Rice
80,53,37,23.18,80.43,5.81,238.88,Alluvial,Cereal,121,Very High,7.0,Rice
78,39,38,23.14,78.79,6.34,242.12,Alluvial,Cereal,131,Very High,7.1,Rice
82,47,32,23.93,82.24,7.39,224.23,Alluvial,Cereal,121,Very High,7.0,Rice
70,54,43,25.98,78.36,6.96,187.94,Clayey,Cereal,123,Very High,8.3,Rice
72,44,40,22.74,75.8,6.43,198.13,Alluvial,Cereal,122,Very High,6.4,Rice
92,43,38,26.03,77.08,6.49,269.21,Loamy,Cereal,110,Very High,7.1,Rice
82,52,35,20.7,84.09,6.52,237.51,Clayey,Cereal,122,Very High,6.6,Rice
81,49,37,28.66,83.9,5.92,249.7,Clayey,Cereal,114,Very High,7.5,Rice
89,43,43,25.03,85.29,7.16,222.64,Clayey,Cereal,115,Very High,6.5,Rice
73,47,41,24.69,85.31,6.41,273.61,Clayey,Cereal,118,Very High,8.6,Rice
85,42,35,25.21,81.11,6.69,244.2,Clayey,Cereal,119,Very High,6.5,Rice
67,45,43,24.54,77.02,6.47,241.56,Alluvial,Cereal,114,Very High,7.1,Rice
80,41,41,25.4,86.33,6.82,188.67,Alluvial,Cereal,114,Very High,7.3,Rice
84,51,55,25.43,86.54,6.78,249.54,Clayey,Cereal,118,Very High,7.5,Rice
