N,P,K,temperature,humidity,ph,rainfall,label
83,47,41,27.51,81.36,6.31,291.47,Rice
86,44,41,22.54,80.44,6.5,169.24,Rice
66,44,36,24.49,78.67,5.84,287.5,Rice
78,48,35,22.34,82.74,5.94,249.35,Rice
75,45,38,28.33,82.25,5.98,264.99,Rice
70,49,34,20.38,83.09,6.7,242.2,Rice
79,45,35,21.9,80.46,6.82,248.23,Rice
65,50,38,22.01,84.75,6.81,268.79,Rice
73,45,40,26.14,80.38,6.33,197.48,Rice
70,53,44,23.52,86.31,6.54,213.62,Rice
82,58,39,27.61,71.82,6.73,239.25,Rice
77,48,34,23.15,83.73,6.99,218.06,Rice
73,44,42,24.52,80.18,6.61,239.6,Rice
87,43,39,22.72,76.45,6.52,245.34,Rice
80,46,35,22.65,80.93,6.08,230.56,Rice
83,61,40,24.34,82.0,5.63,235.27,Rice
80,65,39,24.45,82.16,5.93,276.2,Rice
86,53,37,27.21,76.69,6.63,312.87,Rice
72,44,40,22.44,76.1,6.43,199.02,Rice
83,41,44,21.74,81.01,6.73,193.12,Rice
81,57,35,24.16,83.34,6.71,192.91,Rice
69,51,40,24.33,83.69,6.13,244.33,Rice
82,42,45,24.88,77.53,6.66,202.09,Rice
86,56,37,26.11,83.95,6.73,302.59,Rice
78,42,37,21.66,81.99,6.54,245.88,Rice
86,48,44,23.04,93.18,6.65,206.2,Rice
71,51,39,25.49,84.19,6.37,206.56,Rice
67,44,42,24.24,77.32,6.47,249.69,Rice
72,49,40,20.84,83.73,6.62,274.11,Rice
88,38,37,24.99,84.36,6.61,371.05,Rice
84,55,42,25.33,81.04,6.7,209.15,Rice
78,44,40,29.49,74.83,6.67,179.75,Rice
76,55,40,21.01,79.44,6.67,210.64,Rice
81,48,38,29.06,84.84,5.59,242.73,Rice
74,53,37,23.41,84.32,6.75,194.19,Rice
77,44,38,28.11,83.92,5.9,268.33,Rice
96,55,35,22.49,87.37,6.12,251.73,Rice
86,41,39,15.6,78.2,6.3,192.53,Rice
93,37,38,24.03,88.07,5.83,276.91,Rice
80,41,41,24.2,79.9,6.43,222.71,Rice
80,52,44,20.61,90.83,5.62,230.89,Rice
84,49,38,23.18,80.33,6.16,265.94,Rice
82,43,42,24.47,85.55,6.65,207.19,Rice
75,53,41,23.65,82.77,6.91,215.5,Rice
84,46,39,26.45,85.6,6.73,281.89,Rice
80,52,39,24.51,81.78,6.44,257.03,Rice
73,62,36,20.66,86.93,6.72,258.04,Rice
85,47,37,23.89,79.59,6.79,231.05,Rice
73,45,41,22.29,79.01,6.5,244.77,Rice
75,44,40,20.08,76.67,6.11,228.73,Rice
82,58,42,23.3,82.22,6.0,235.55,Rice
77,50,37,25.0,88.43,6.36,250.26,Rice
85,45,40,23.73,82.69,6.09,237.06,Rice
83,58,42,29.08,79.23,6.75,242.62,Rice
97,42,37,22.2,73.8,6.19,209.63,Rice
81,50,45,26.08,79.99,6.04,253.42,Rice
69,60,43,22.53,75.45,6.94,232.19,Rice
