Crop,Season,State,Area_Acres,Rainfall_mm,Temperature_C,Soil_pH,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Yield_Quintals_Per_Acre
Paddy,Whole Year,Tamil Nadu,19.4,1623.9,30.9,6.16,88.8,22.3,64.4,13.29
Paddy,Whole Year,Tamil Nadu,24.1,1149.7,27.4,7.25,36.0,27.3,25.5,8.15
Paddy,Kharif,Andhra Pradesh,7.1,1001.7,20.2,7.73,58.0,76.8,29.3,8.58
Paddy,Kharif,Andhra Pradesh,23.2,1989.7,28.6,7.47,88.6,64.4,86.7,13.39
Paddy,Kharif,West Bengal,13.7,774.8,34.8,7.68,92.8,53.1,84.1,8.45
Paddy,Kharif,Gujarat,18.5,897.7,25.0,6.92,144.8,52.8,43.8,20.9
Paddy,Rabi,Maharashtra,10.5,1228.0,23.3,7.58,48.0,60.2,81.5,14.69
Paddy,Rabi,Kerala,18.1,2140.7,29.4,5.64,111.1,36.8,40.9,10.91
Paddy,Kharif,Madhya Pradesh,13.1,1769.2,23.8,5.37,75.8,51.0,57.8,13.3
Paddy,Whole Year,Andhra Pradesh,18.9,1995.7,23.1,7.71,135.1,54.2,16.9,11.12
Paddy,Kharif,Madhya Pradesh,5.8,1855.3,20.9,5.92,62.6,78.0,66.8,13.34
Paddy,Kharif,Kerala,9.6,1397.0,29.1,7.16,103.0,31.8,63.5,18.3
Paddy,Whole Year,Kerala,7.9,1723.3,34.7,6.24,154.4,88.2,38.4,14.36
Paddy,Whole Year,Punjab,7.0,1655.7,32.1,7.78,137.9,83.4,67.8,13.12
Paddy,Whole Year,Gujarat,18.7,1002.6,31.0,5.62,88.3,88.8,20.6,13.43
Paddy,Kharif,Kerala,10.1,1359.9,28.0,5.42,105.9,34.1,39.8,15.97
Paddy,Kharif,Uttar Pradesh,4.7,1196.9,18.9,7.98,110.0,64.6,51.8,12.38
Paddy,Kharif,Tamil Nadu,19.8,1189.5,22.0,5.59,38.9,52.9,46.2,10.29
Paddy,Rabi,Haryana,6.3,1028.6,24.0,6.15,58.4,71.4,54.8,17.96
Paddy,Kharif,Madhya Pradesh,3.8,1232.9,22.3,7.06,149.4,33.3,18.0,18.33
Paddy,Kharif,Andhra Pradesh,10.3,1532.0,23.1,7.92,136.9,43.1,75.2,16.68
Paddy,Rabi,Punjab,22.6,996.5,27.3,8.03,51.8,86.7,55.3,12.59
Paddy,Kharif,Haryana,17.1,1891.3,33.6,6.36,43.5,55.3,67.7,10.95
Paddy,Whole Year,Andhra Pradesh,20.6,811.1,30.3,5.08,123.2,17.8,20.5,8.08
Paddy,Whole Year,Karnataka,2.7,1965.3,34.4,6.3,88.6,45.3,38.7,9.42
Paddy,Whole Year,Haryana,1.1,1809.2,19.1,7.39,35.9,78.6,41.8,8.55
Paddy,Whole Year,Karnataka,8.2,833.2,31.8,6.4,81.4,64.6,50.5,13.31
Paddy,Whole Year,Uttar Pradesh,10.4,1928.1,27.8,8.07,48.7,65.8,83.6,13.19
Paddy,Rabi,Madhya Pradesh,24.0,717.2,33.7,5.45,35.4,58.0,44.6,5.67
Paddy,Rabi,Haryana,6.0,1841.8,31.1,5.68,147.7,78.9,25.7,13.32
Paddy,Rabi,Gujarat,5.7,979.3,32.4,7.73,140.7,84.9,89.6,11.35
Paddy,Kharif,Kerala,8.0,803.7,19.8,7.32,93.3,39.8,24.6,8.46
Paddy,Rabi,Haryana,15.9,2086.2,23.7,6.44,110.1,37.9,58.8,16.35
Paddy,Rabi,Tamil Nadu,24.0,959.7,23.6,7.51,122.6,63.1,35.8,15.01
