Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
33.9,47.2,31.0,Sandy,Maize,11,10,39,14-35-14
22.5,39.7,35.0,Clayey,Wheat,43,40,6,DAP
33.2,56.0,44.3,Loamy,Ground Nuts,22,15,5,DAP
26.4,45.8,57.8,Red,Barley,11,29,10,Urea
31.7,75.4,56.4,Black,Barley,39,29,12,DAP
26.7,66.4,63.1,Sandy,Oil seeds,28,17,41,20-20
32.6,73.7,67.4,Sandy,Maize,19,29,11,DAP
32.2,53.2,40.9,Black,Millets,18,9,22,17-17-17
33.7,43.2,41.3,Loamy,Oil seeds,45,19,40,20-20
25.7,36.6,38.6,Black,Maize,22,18,9,DAP
25.4,60.0,63.0,Clayey,Barley,34,21,14,DAP
33.9,61.9,57.1,Loamy,Tobacco,32,30,42,10-26-26
38.0,41.9,46.2,Black,Tobacco,8,14,12,17-17-17
28.8,38.2,41.4,Loamy,Ground Nuts,34,21,38,17-17-17
33.5,69.1,48.1,Sandy,Ground Nuts,22,12,26,14-35-14
24.5,35.2,56.0,Black,Wheat,21,16,37,17-17-17
26.8,66.9,51.2,Sandy,Ground Nuts,14,15,28,Urea
36.7,64.9,46.0,Clayey,Oil seeds,12,24,28,Urea
25.9,63.4,28.4,Loamy,Maize,36,39,9,DAP
32.6,82.3,32.1,Loamy,Cotton,38,32,43,10-26-26
34.1,69.5,55.7,Loamy,Oil seeds,30,33,28,20-20
23.9,46.2,39.5,Clayey,Millets,42,19,40,17-17-17
23.1,66.6,34.8,Loamy,Maize,7,9,26,14-35-14
26.5,59.3,48.2,Clayey,Tobacco,41,35,41,10-26-26
34.9,44.5,29.2,Loamy,Millets,32,32,27,20-20
35.8,37.7,53.1,Red,Millets,11,30,8,20-20
26.0,44.5,44.3,Black,Sugarcane,32,22,16,28-28
29.1,78.1,48.7,Loamy,Sugarcane,8,5,39,14-35-14
24.7,59.3,34.2,Sandy,Tobacco,30,15,8,DAP
37.8,48.3,58.7,Red,Maize,34,32,23,10-26-26
33.5,42.7,37.8,Clayey,Ground Nuts,8,39,42,Urea
22.9,64.2,46.6,Sandy,Barley,38,8,15,17-17-17
23.1,38.4,62.1,Sandy,Cotton,30,41,12,DAP
31.5,66.0,43.0,Loamy,Pulses,42,38,41,20-20
25.3,70.8,35.3,Black,Paddy,30,24,13,DAP
36.9,81.8,25.4,Red,Barley,44,11,41,14-35-14
25.4,48.3,65.1,Sandy,Oil seeds,9,28,20,Urea
29.0,62.2,38.0,Black,Cotton,38,40,5,DAP
23.7,78.9,36.4,Black,Ground Nuts,11,14,40,14-35-14
31.7,70.9,33.8,Black,Paddy,45,37,21,10-26-26
36.5,77.3,29.0,Red,Paddy,32,7,22,Urea
32.2,48.1,56.9,Black,Cotton,40,40,32,10-26-26
23.2,79.2,63.9,Sandy,Sugarcane,39,28,7,DAP
24.4,41.4,38.3,Clayey,Oil seeds,7,18,27,Urea
23.6,74.0,63.0,Loamy,Ground Nuts,31,14,44,14-35-14
